County,W_HH_Income_<10k,"W_HH_Income_$10,000 to $14,999","W_HH_Income_$15,000 to $19,999","W_HH_Income_$20,000 to $24,999","W_HH_Income_$25,000 to $29,999","W_HH_Income_$30,000 to $34,999","W_HH_Income_$35,000 to $39,999","W_HH_Income_$40,000 to $44,999","W_HH_Income_$45,000 to $49,999","W_HH_Income_$50,000 to $59,999","W_HH_Income_$60,000 to $74,999","W_HH_Income_$75,000 to $99,999","W_HH_Income_$100,000 to $124,999","W_HH_Income_$125,000 to $149,999","W_HH_Income_$150,000 to $199,999","W_HH_Income_$200,000 or more",Median_HH_Income,Median_HH_Income_B_AA,Median_HH_Income_Asian,Median_HH_Income_White,Total_Income,Passive_Income,Active_Income,SE_Income,Non_SE_Income
Alameda ,8196,4390,4467,3790,4459,4379,5268,4031,4554,9214,13425,23827,20314,16545,27660,63896,109729,59817,146259,126060,589180,173658,415522,73736,515444
Butte ,3116,2692,2009,2772,3304,2121,2756,2462,2125,4222,7461,8441,4684,4557,5603,4994,64738,57410,73054,69995,81353,15432,65921,9729,71624
Contra Costa ,7706,3554,3324,2637,4055,4964,4665,4965,3805,9032,12882,21936,21811,14834,29224,59449,111080,72225,133284,125957,411560,114001,297559,58119,353441
El Dorado ,2557,1800,1942,1464,1824,1166,1528,1814,766,3508,6250,8445,6770,5019,5844,11979,87491,null,119278,89321,74909,19414,55495,11183,63726
Fresno ,7937,4057,4351,5706,4707,4770,5130,4951,5177,8447,12873,17119,13133,9171,14618,13603,63656,47373,74149,77258,322646,41214,281432,33947,288699
Humboldt ,2840,2434,1629,1763,1721,2154,1566,3027,1535,2676,4391,6153,2775,2718,1976,2631,54752,21416,53870,58964,55184,11701,43483,10675,44509
Imperial ,657,814,699,504,178,475,82,378,546,524,1276,1042,2278,651,770,384,51809,61490,50414,62507,47849,3101,44748,3701,44148
Kern ,8197,6792,4758,8932,6706,6584,6774,7505,5149,8600,13233,19651,12716,10671,10156,10733,58217,40038,79347,69635,282963,30656,252307,28212,254751
Kings ,1058,635,198,920,738,471,671,874,277,2241,1839,3180,1534,1859,2246,1051,62155,57895,83475,73643,43143,4316,38827,3833,39310
Lake ,854,1253,872,938,1067,721,657,402,1192,1787,2492,2367,2295,1148,1171,1431,61221,65238,-,62475,27472,5215,22257,4490,22982
