County,Total population,Population Under 5 years,Population  5-9 years,Population 10-14 years,Population 15-19 years,Population 20-24 years,Population 25-29 years,Population 30-34 years,Population 35-39 years,Population 40-44 years,Population 45-49 years,Population 50-54 years,Population  55-59 years,Population 60-64 years,Population 65-69 years,Population 70-74 years,Population 75-79 years,Population 80-84 years,Population Over 85 years,Population 5-14 years,Population Under 15-17 years,Population Under 18 years,Population Under 18-24 years,Population Under 15-44 years,Population Under 16 years and over,Population 18 years and over,Population 21 years and over,Population 60 years and over,Population 62 years and over,Population 65 years and over,Population 75 years and over,Median age (years),Sex ratio (males per 100 females),Old-age dependency ratio,Child dependency ratio,Percent Under 5 years,Percent 5 to 9 years,Percent 10 to 14 years,Percent 15 to 19 years,Percent 20 to 24 years,Percent 25 to 29 years,Percent 30 to 34 years,Percent 35 to 39 years,Percent 40 to 44 years,Percent 45 to 49 years,Percent 50 to 54 years,Percent 55 to 59 years,Percent 60 to 64 years,Percent 65 to 69 years,Percent 70 to 74 years,Percent 75 to 79 years,Percent 80 to 84 years,Percent 85 years and over,Percent 5 to 14 years,Percent 15 to 17 years,Percent Under 18 years,Percent 18 to 24 years,Percent 15 to 44 years,Percent 16 years and over,Percent 18 years and over,Percent 21 years and over,Percent 60 years and over,Percent 62 years and over,Percent 65 years and over,Male Total population,Percent Male Under 5 years,Percent Male 5 to 9 years,Percent Male 10 to 14 years,Percent Male 15 to 19 years,Percent Male 20 to 24 years,Percent Male 25 to 29 years,Percent Male 30 to 34 years,Percent Male 35 to 39 years,Percent Male 40 to 44 years,Percent Male 45 to 49 years,Percent Male 50 to 54 years,Percent Male 55 to 59 years,Percent Male 60 to 64 years,Percent Male 65 to 69 years,Percent Male 70 to 74 years,Percent Male 75 to 79 years,Percent Male 80 to 84 years,Percent Male 85 years and over,Female Total population,Female population Under 5 years,Female population 5 to 9 years,Female population 10 to 14 years,Female population  5 to 19 years,Female population 20 to 24 years,Female population 25 to 29 years,Female population 30 to 34 years,Female population 35 to 39 years,Female population 40 to 44 years,Female population 45 to 49 years,Female population 50 to 54 years,Female population 55 to 59 years,Female population 60 to 64 years,Female population 65 to 69 years,Female population 70 to 74 years,Female population 75 to 79 years,Female population 80 to 84 years,Female population 85 years and over,Percent Female Under 5 years,Percent Female 5 to 9 years,Percent Female 10 to 14 years,Percent Female 15 to 19 years,Percent Female 20 to 24 years,Percent Female 25 to 29 years,Percent Female  30 to 34 years,Percent Female 35 to 39 years,Percent Female  40 to 44 years,Percent Female 45 to 49 years,Percent Female 50 to 54 years,Percent Female 55 to 59 years,Percent Female 60 to 64 years,Percent Female 65 to 69 years,Percent Female 70 to 74 years,Percent Female 75 to 79 years,Percent Female 80 to 84 years,Percent Female 85 years and over
Alameda,1648556,88016,91575,95952,95487,89838,115618,143781,139723,121234,111042,108383,102653,99204,79002,69229,42672,25545,29602,187527,56340,331883,128985,705681,1354894,1316673,1258792,345254,303367,246050,97819,38.8,98.2,23,31,5.3,5.6,5.8,5.8,5.4, ,8.7,8.5,7.4,6.7,6.6,6.2,6,4.8,4.2,2.6,1.5,1.8,11.4,3.4,20.1,7.8,42.8,82.2,79.9,76.4,20.9,18.4,14.9,816792,5.5,5.7,6.1,5.9,5.5,7.1,8.8,8.7,7.5,6.8,6.7,6.1,6.1,4.7,3.8,2.2,1.3,1.5,831764,43354,45027,46210,47105,45026,57614,71578,68448,60339,55336,53518,52820,49267,40914,38339,24930,14601,17338,5.2,5.4,5.6,5.7,5.4,6.9,8.6,8.2,7.3,6.7,6.4,6.4,5.9,4.9,4.6,3,1.8,2.1
Butte,208309,10910,11370,12623,16972,20154,13880,12825,12716,12722,10175,10647,14755,10300,11588,12101,7422,3993,3156,23993,7499,42402,29627,89269,170370,165907,151999,48560,44300,38260,14571,36.8,98.2,30,33.2,5.2,5.5,6.1,8.1,9.7,6.7,6.2,6.1,6.1,4.9,5.1,7.1,4.9,5.6,5.8,3.6,1.9,1.5,11.5,3.6,20.4,14.2,42.9,81.8,79.6,73,23.3,21.3,18.4,103229,5,5.6,6.5,8.4,9.1,7.3,6.4,6.6,6.4,5,5.3,6.6,5.1,4.9,5.9,2.7,2.1,1.2,105080,5786,5587,5906,8329,10748,6351,6268,5950,6154,5010,5166,7901,5056,6531,5982,4600,1834,1921,5.5,5.3,5.6,7.9,10.2,6,6,5.7,5.9,4.8,4.9,7.5,4.8,6.2,5.7,4.4,1.7,1.8
Contra,1161413,61458,66656,80618,75261,65345,68537,75001,81772,80841,77314,80627,78870,75095,61104,54384,37585,21897,19048,147274,48630,257362,91976,446757,935414,904051,866212,269113,235792,194018,78530,40.4,96.6,27.3,36.2,5.3,5.7,6.9,6.5,5.6,5.9,6.5,7,7,6.7,6.9,6.8,6.5,5.3,4.7,3.2,1.9,1.6,12.7,4.2,22.2,7.9,38.5,80.5,77.8,74.6,23.2,20.3,16.7,570719,5.4,5.7,7.4,6.8,5.8,6.1,6.5,7.2,6.9,6.7,7.1,6.9,6.3,5,4.4,2.8,1.8,1.1,590694,30377,33844,38185,36522,32319,33868,37891,40596,41552,39195,40269,39679,38864,32460,29474,21360,11753,12486,5.1,5.7,6.5,6.2,5.5,5.7,6.4,6.9,7,6.6,6.8,6.7,6.6,5.5,5,3.6,2,2.1
El Dorado,193221,9026,8829,14140,9734,9554,7741,11612,12806,11721,10578,12896,16070,15106,15986,11705,7379,3615,4723,22969,6151,38146,13137,63168,159055,155075,149787,58514,52272,43408,15717,45.7,98.9,38.9,34.2,4.7,4.6,7.3,5,4.9,4,6,6.6,6.1,5.5,6.7,8.3,7.8,8.3,6.1,3.8,1.9,2.4,11.9,3.2,19.7,6.8,32.7,82.3,80.3,77.5,30.3,27.1,22.5,96068,4.5,4.2,7.3,5.5,5.6,4.3,5.4,6.9,6.4,5.6,6.5,9,6.8,8.3,6.2,3.9,1.3,2.5,97153,4731,4779,7175,4450,4211,3613,6397,6175,5594,5178,6617,7418,8604,8039,5766,3672,2386,2348,4.9,4.9,7.4,4.6,4.3,3.7,6.6,6.4,5.8,5.3,6.8,7.6,8.9,8.3,5.9,3.8,2.5,2.4
Fresno,1013581,71998,79902,84738,77051,69163,74784,77348,71435,63999,55542,55065,54788,50048,43324,34722,22139,14428,13107,164640,48915,285553,97299,433780,761696,728028,685183,177768,157259,127720,49674,33.1,100.5,21.3,47.6,7.1,7.9,8.4,7.6,6.8,7.4,7.6,7,6.3,5.5,5.4,5.4,4.9,4.3,3.4,2.2,1.4,1.3,16.2,4.8,28.2,9.6,42.8,75.1,71.8,67.6,17.5,15.5,12.6,508152,7.3,8.5,8.1,7.6,6.9,7.5,7.7,7.3,6.3,5.5,5.5,5.5,4.7,4.1,3.2,1.9,1.3,0.8,505429,35139,36494,43678,38667,33854,36498,38046,34213,31820,27434,26962,26834,26017,22301,18651,12241,7582,8998,7,7.2,8.6,7.7,6.7,7.2,7.5,6.8,6.3,5.4,5.3,5.3,5.1,4.4,3.7,2.4,1.5,1.8
Humboldt,136310,5798,6136,9430,10115,10775,9256,7878,8971,8691,8377,8218,8173,7894,9081,8524,4368,1739,2886,15566,4514,25878,16376,55686,113209,110432,102272,34492,31298,26598,8993,39.9,97.9,31.7,30.9,4.3,4.5,6.9,7.4,7.9,6.8,5.8,6.6,6.4,6.1,6,6,5.8,6.7,6.3,3.2,1.3,2.1,11.4,3.3,19,12,40.9,83.1,81,75,25.3,23,19.5,67427,3.6,4.6,7.4,7,7.5,7.6,5.8,7.3,7,6.6,5.6,5.5,6.1,5.9,6.7,2.5,1.2,2.1,68883,3345,3061,4446,5418,5686,4110,3969,4059,4000,3895,4457,4434,3781,5130,4018,2696,916,1462,4.9,4.4,6.5,7.9,8.3,6,5.8,5.9,5.8,5.7,6.5,6.4,5.5,7.4,5.8,3.9,1.3,2.1
Imperial,179851,12618,12288,17650,13470,12470,12665,13517,11233,11744,9259,10516,7180,10716,9019,5969,3037,2355,4145,29938,8367,50923,17573,75099,133162,128928,120820,35241,30221,24525,9537,32.8,107.9,23.5,48.8,7,6.8,9.8,7.5,6.9,7,7.5,6.2,6.5,5.1,5.8,4,6,5,3.3,1.7,1.3,2.3,16.6,4.7,28.3,9.8,41.8,74,71.7,67.2,19.6,16.8,13.6,93348,6.9,7.2,9.2,7.7,7.5,7.5,8,6.8,6.4,5.2,6.1,3.4,6.2,4.4,3.1,1.3,1.4,1.6,86503,6141,5541,9019,6292,5486,5649,6084,4867,5815,4392,4800,4044,4959,4871,3032,1824,1073,2614,7.1,6.4,10.4,7.3,6.3,6.5,7,5.6,6.7,5.1,5.5,4.7,5.7,5.6,3.5,2.1,1.2,3
Kern,917673,65712,72563,79677,72334,64671,68859,70527,61950,61096,51926,48990,45970,48728,35863,30626,18111,9561,10509,152240,45398,263350,91607,399437,685864,654323,613340,153398,134280,104670,38181,32.5,105.8,19,47.9,7.2,7.9,8.7,7.9,7,7.5,7.7,6.8,6.7,5.7,5.3,5,5.3,3.9,3.3,2,1,1.1,16.6,4.9,28.7,10,43.5,74.7,71.3,66.8,16.7,14.6,11.4,471707,7.2,7.9,8.5,7.8,7.4,7.8,8,7.5,6.5,5.7,5.3,5.2,4.9,3.5,3.3,1.8,0.9,0.8,445966,31942,35120,39461,35425,29915,31932,32984,26756,30445,24924,24137,21417,25704,19301,14870,9385,5521,6727,7.2,7.9,8.8,7.9,6.7,7.2,7.4,6,6.8,5.6,5.4,4.8,5.8,4.3,3.3,2.1,1.2,1.5
Kings ,153443,10845,9762,13707,10746,12015,13558,12949,12393,10547,8178,7745,7301,7301,5228,4486,2587,2341,1754,23469,7092,41406,15669,72208,117290,112037,105997,23697,20435,16396,6682,32.2,124.8,17.1,43.3,7.1,6.4,8.9,7,7.8,8.8,8.4,8.1,6.9,5.3,5,4.8,4.8,3.4,2.9,1.7,1.5,1.1,15.3,4.6,27,10.2,47.1,76.4,73,69.1,15.4,13.3,10.7,85187,5.7,6.4,8,6.6,8.4,10.2,9,8.1,7.7,5.6,5.3,4.5,5.1,3.4,2.6,1.5,0.6,1.2,68256,5958,4292,6913,5161,4858,4835,5314,5488,3983,3396,3221,3470,2962,2302,2261,1338,1810,694,8.7,6.3,10.1,7.6,7.1,7.1,7.8,8,5.8,5,4.7,5.1,4.3,3.4,3.3,2,2.7,1
Lake ,68766,3624,4728,3541,2962,4632,2938,4269,5046,3784,2587,3865,4807,5355,5076,4899,2780,1697,2176,8269,2159,14052,5435,23631,55773,54714,52963,21983,20147,16628,6653,43.9,100.2,43.7,36.9,5.3,6.9,5.1,4.3,6.7,4.3,6.2,7.3,5.5,3.8,5.6,7,7.8,7.4,7.1,4,2.5,3.2,12,3.1,20.4,7.9,34.4,81.1,79.6,77,32,29.3,24.2,34421,5.6,5.7,6.6,4.5,7.4,4.4,6.4,7.7,6.5,2.6,5.1,7.3,7.6,5.4,7.7,3.8,2.7,2.9,34345,1689,2777,1257,1401,2101,1413,2049,2412,1541,1702,2117,2298,2733,3204,2239,1460,758,1194,4.9,8.1,3.7,4.1,6.1,4.1,6,7,4.5,5,6.2,6.7,8,9.3,6.5,4.3,2.2,3.5
Los Angeles,9829544,519773,555764,628042,610692,631577,757682,801641,709003,669503,637099,657851,627057,587341,474636,376699,247116,168814,169254,1183806,367596,2071175,874673,4180098,8002494,7758369,7390317,2023860,1786371,1436519,585184,37.8,98.2,22.7,32.8,5.3,5.7,6.4,6.2,6.4,7.7,8.2,7.2,6.8,6.5,6.7,6.4,6,4.8,3.8,2.5,1.7,1.7,12,3.7,21.1,8.9,42.5,81.4,78.9,75.2,20.6,18.2,14.6,4870908,5.4,5.8,6.7,6.4,6.5,7.8,8.4,7.5,6.9,6.5,6.8,6.4,5.8,4.6,3.5,2.2,1.5,1.3,4958636,254348,274594,300925,300240,314105,376515,392343,342737,334522,319990,328043,314735,302634,250097,206199,141173,97352,108084,5.1,5.5,6.1,6.1,6.3,7.6,7.9,6.9,6.7,6.5,6.6,6.3,6.1,5,4.2,2.8,2,2.2
Madera,159410,11123,10893,14214,11961,10552,9869,10733,9957,11258,9213,8468,8365,9090,8008,7166,4011,1943,2586,25107,7727,43957,14786,64330,120503,115453,108679,32804,28953,23714,8540,35.1,97.2,25.8,47.9,7,6.8,8.9,7.5,6.6,6.2,6.7,6.2,7.1,5.8,5.3,5.2,5.7,5,4.5,2.5,1.2,1.6,15.7,4.8,27.6,9.3,40.4,75.6,72.4,68.2,20.6,18.2,14.9,78590,7.7,8.1,8.1,8.4,6.1,6,6.4,5.5,7.3,5.6,5.6,5.6,5.2,5.6,3.9,2.9,1.2,0.6,80820,5083,4499,7858,5376,5749,5121,5670,5606,5554,4781,4066,3929,5001,3583,4123,1711,999,2111,6.3,5.6,9.7,6.7,7.1,6.3,7,6.9,6.9,5.9,5,4.9,6.2,4.4,5.1,2.1,1.2,2.6
Marin ,260206,11253,15032,13432,16238,11504,10657,12642,14922,16319,17789,20104,21129,17604,19176,16151,11592,7369,7293,28464,10330,50047,17412,82282,216956,210159,201488,79185,72016,61581,26254,46.9,97,41.4,33.7,4.3,5.8,5.2,6.2,4.4,4.1,4.9,5.7,6.3,6.8,7.7,8.1,6.8,7.4,6.2,4.5,2.8,2.8,10.9,4,19.2,6.7,31.6,83.4,80.8,77.4,30.4,27.7,23.7,128146,4.6,6.3,4.9,6.3,5.1,4.3,5.5,5.2,7.2,6.7,7.7,7.7,6.8,7.3,5.7,4.1,2.5,2.2,132060,5316,6898,7196,8223,4966,5199,5596,8223,7072,9176,10246,11320,8887,9832,8845,6314,4215,4536,4,5.2,5.4,6.2,3.8,3.9,4.2,6.2,5.4,6.9,7.8,8.6,6.7,7.4,6.7,4.8,3.2,3.4
