,Address,City,Zip,County,APN,Property Type,Bedrooms,Total Bathrooms,Building Sqft,Lot Size Sqft,Effective Year Built,Total Assessed Value,Est. Value,MLS Status,MLS Date,MLS Amount,Lien Amount
8,1 Montsalas Dr,Monterey,93940,Monterey,101-261-062-000,Condominium (Residential),2,2.0,1116.0,,1977.0,710000.0,749625.0,ACTIVE,2022-08-18,754000.0,0
9,1 Patria,Rancho Mission Viejo,92694,Orange,930-576-88,Condominium (Residential),2,3.0,1425.0,,2015.0,562166.0,809564.0,ACTIVE,2022-12-29,740000.0,0
10,1 Stanyan St #21,San Francisco,94118,San Francisco,1084-014,Condominium (Residential),2,2.0,1230.0,,2018.0,1565203.0,1542267.0,ACTIVE,2022-09-23,1299000.0,0
11,10 Kennedy Pl #102,San Francisco,94124,San Francisco,4591C-611,Condominium (Residential),2,2.0,1067.0,,2018.0,851000.0,766883.0,ACTIVE,2022-04-07,799000.0,0
12,10 Miller Pl #702,San Francisco,94108,San Francisco,0224-041,Condominium (Residential),1,1.0,600.0,,1963.0,635796.0,883087.0,ACTIVE,2022-03-31,795000.0,0
13,10 Mosaic,Aliso Viejo,92656,Orange,939-257-73,Condominium (Residential),2,3.0,1249.0,,1997.0,583440.0,804548.0,PENDING,2022-12-02,718000.0,0
15,100 Echo Run #25,Irvine,92614,Orange,938-600-25,Condominium (Residential),3,2.0,1117.0,,1980.0,207025.0,724686.0,PENDING,2022-11-25,740000.0,0
16,100 Scholz Plz #206,Newport Beach,92663,Orange,936-761-84,Condominium (Residential),2,2.0,1155.0,,1971.0,462787.0,1023937.0,ACTIVE,2022-09-20,999888.0,0
17,1000 W Macarthur Blvd #77,Santa Ana,92707,Orange,937-380-77,Condominium (Residential),1,1.0,700.0,,1969.0,317980.0,433855.0,ACTIVE,2022-12-26,490000.0,0
18,1001 W Stevens Ave #158,Santa Ana,92707,Orange,930-414-58,Condominium (Residential),2,1.0,816.0,,1972.0,124275.0,447674.0,PENDING,2022-10-11,432000.0,0
19,101 California Ave #506,Santa Monica,90403,Los Angeles,4292-027-055,Condominium (Residential),2,2.0,1077.0,,1969.0,1222966.0,1449481.0,ACTIVE,2022-10-31,1399000.0,0
20,101 California Ave #707,Santa Monica,90403,Los Angeles,4292-027-070,Condominium (Residential),2,2.0,1048.0,,1969.0,1501082.0,1601407.0,ACTIVE,2022-11-28,1499999.0,0
21,101 S Waterwheel Way #47,Orange,92869,Orange,935-490-47,Condominium (Residential),3,3.0,1856.0,,1979.0,536415.0,823505.0,ACTIVE,2022-08-22,777000.0,0
22,1010 Hammond St #305,West Hollywood,90069,Los Angeles,4340-002-038,Condominium (Residential),1,2.0,1084.0,,1974.0,176022.0,790682.0,PENDING,2022-10-12,774888.0,0
23,1010 W Macarthur Blvd #31,Santa Ana,92707,Orange,937-381-79,Condominium (Residential),2,1.0,905.0,,1969.0,457000.0,523258.0,PENDING,2022-11-29,485000.0,0
24,1011 Via Tornasol,Aptos,95003,Santa Cruz,054-211-12-000,Condominium (Residential),3,3.0,1504.0,,1974.0,715959.0,1268057.0,ACTIVE,2022-09-19,1149000.0,0
25,1013 Via Presa,San Clemente,92672,Orange,933-572-28,Condominium (Residential),2,3.0,1400.0,,1994.0,281861.0,822553.0,ACTIVE,2022-11-02,825000.0,0
26,1019 Dornajo Way #105,Sacramento,95825,Sacramento,285-0330-001-0005,Condominium (Residential),1,1.0,688.0,,1987.0,53111.0,214546.0,PENDING,2022-12-13,199900.0,0
27,1019 Dornajo Way #140,Sacramento,95825,Sacramento,285-0330-001-0074,Condominium (Residential),1,1.0,688.0,,1987.0,51298.0,209251.0,PENDING,2022-11-05,179000.0,0
28,102 Luna Grande Cir #6,Sacramento,95834,Sacramento,225-0890-028-0006,Condominium (Residential),2,2.0,840.0,,1983.0,157675.0,282725.0,ACTIVE,2022-11-06,249999.0,0
29,1022 Canal St,Oxnard,93035,Ventura,196-0-033-335,Condominium (Residential),3,3.0,2767.0,,1985.0,562280.0,1253082.0,ACTIVE,2022-09-19,1189000.0,0
30,1026 N Acacia St #F4,Anaheim,92805,Orange,933-490-16,Condominium (Residential),2,1.0,975.0,,1962.0,163755.0,446561.0,ACTIVE,2022-12-09,465000.0,0
31,1030 W Macarthur Blvd #31,Santa Ana,92707,Orange,937-384-87,Condominium (Residential),1,,504.0,,1971.0,61270.0,283785.0,ACTIVE,2022-10-26,299900.0,0
32,10361 Garden Grove Blvd #27,Garden Grove,92843,Orange,937-720-61,Condominium (Residential),2,2.0,1057.0,,1990.0,365889.0,543495.0,PENDING,2022-09-16,539999.0,0
33,10391 E Briar Oaks Dr #B,Stanton,90680,Orange,936-202-31,Condominium (Residential),3,2.0,1251.0,,1986.0,476340.0,585185.0,PENDING,2022-09-28,565000.0,0
34,1040 N Curson Ave #2,West Hollywood,90046,Los Angeles,5530-018-041,Condominium (Residential),2,3.0,1780.0,,2008.0,436217.0,1325581.0,ACTIVE,2022-12-05,1155000.0,0
35,1040 S Harbor Blvd #2,Santa Ana,92704,Orange,932-612-19,Condominium (Residential),3,3.0,1588.0,,2017.0,479487.0,506730.0,ACTIVE,2022-11-22,536700.0,0
36,10401 Garden Grove Blvd #32,Garden Grove,92843,Orange,930-537-11,Condominium (Residential),1,1.0,662.0,,1986.0,154924.0,443308.0,PENDING,2022-11-17,449900.0,0
37,10411 Garden Grove Blvd #5,Garden Grove,92843,Orange,930-537-42,Condominium (Residential),2,2.0,957.0,,1988.0,226273.0,545083.0,PENDING,2022-09-29,524900.0,0
38,1042 Calle Del Cerro #204,San Clemente,92672,Orange,930-075-62,Condominium (Residential),2,2.0,823.0,,1986.0,266961.0,626831.0,PENDING,2022-11-17,595000.0,0
39,1044 Cabrillo Park Dr #A,Santa Ana,92701,Orange,931-775-16,Condominium (Residential),2,2.0,1007.0,,1972.0,341527.0,506120.0,PENDING,2022-12-09,480000.0,0
40,105 Infinity Way,Mountain View,94043,Santa Clara,160-89-051,Condominium (Residential),2,3.0,1355.0,,2017.0,1309915.0,1508804.0,ACTIVE,2023-01-05,1288000.0,0
41,10516 Kerrigan Ct,Santee,92071,San Diego,378-320-25-00,Condominium (Residential),3,2.0,1323.0,,1974.0,427683.0,606823.0,PENDING,2022-12-01,539000.0,0
42,1052 S Tivoli Ct,Anaheim,92808,Orange,932-491-68,Condominium (Residential),2,3.0,1049.0,,1994.0,499800.0,633957.0,CONTINGENT,2022-12-01,629900.0,0
43,10520 Lakeside Dr N #J,Garden Grove,92840,Orange,939-880-36,Condominium (Residential),2,2.0,903.0,,1981.0,389554.0,533308.0,ACTIVE,2022-12-14,520000.0,0
44,10530 Acorn Pl,Los Alamitos,90720,Orange,939-592-61,Condominium (Residential),3,3.0,2070.0,,2019.0,907800.0,1136539.0,ACTIVE,2022-08-17,1149000.0,0
45,10541 Lakeside Dr S #153,Garden Grove,92840,Orange,939-881-53,Condominium (Residential),1,1.0,767.0,,1984.0,294855.0,464521.0,ACTIVE,2022-12-13,459000.0,0
46,10590 Wilshire Blvd #1604,Los Angeles,90024,Los Angeles,4326-002-143,Condominium (Residential),2,3.0,2354.0,,1981.0,918789.0,1758397.0,ACTIVE,2022-09-21,1399000.0,0
